timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694421254036,264,Ping - Health Check,201,Created,Thread Group 1-7,text,true,,248,229,4,4,https://restful-booker.herokuapp.com/ping,264,0,0
1694421254065,272,Get Booking ID,200,OK,Thread Group 1-9,text,true,,14251,232,3,3,https://restful-booker.herokuapp.com/booking,272,0,0
1694421254106,263,Partial Update Booking,200,OK,Thread Group 1-8,text,true,,414,316,3,3,https://restful-booker.herokuapp.com/booking/1109,263,0,0
1694421254338,265,Get Specific Booking,200,OK,Thread Group 1-9,text,true,,411,236,3,3,https://restful-booker.herokuapp.com/booking/282,265,0,0
1694421254370,253,Delete Booking,201,Created,Thread Group 1-8,text,true,,248,259,3,3,https://restful-booker.herokuapp.com/booking/1109,253,0,0
1694421254604,262,Create Booking,200,OK,Thread Group 1-9,text,true,,442,502,3,3,https://restful-booker.herokuapp.com/booking,262,0,0
1694421254624,252,Ping - Health Check,201,Created,Thread Group 1-8,text,true,,248,229,3,3,https://restful-booker.herokuapp.com/ping,252,0,0
1694421254008,1054,Create Token,200,OK,Thread Group 1-10,text,true,,271,313,2,2,https://restful-booker.herokuapp.com/auth,1054,0,793
1694421254868,265,Update Booking,200,OK,Thread Group 1-9,text,true,,415,508,2,2,https://restful-booker.herokuapp.com/booking/1120,265,0,0
1694421255064,270,Get Booking ID,200,OK,Thread Group 1-10,text,true,,14365,232,2,2,https://restful-booker.herokuapp.com/booking,270,0,0
1694421255134,266,Partial Update Booking,200,OK,Thread Group 1-9,text,true,,414,316,2,2,https://restful-booker.herokuapp.com/booking/1120,266,0,0
1694421255337,261,Get Specific Booking,200,OK,Thread Group 1-10,text,true,,411,236,2,2,https://restful-booker.herokuapp.com/booking/282,261,0,0
1694421255402,263,Delete Booking,201,Created,Thread Group 1-9,text,true,,248,259,2,2,https://restful-booker.herokuapp.com/booking/1120,263,0,0
1694421255599,260,Create Booking,200,OK,Thread Group 1-10,text,true,,442,502,2,2,https://restful-booker.herokuapp.com/booking,260,0,0
1694421255666,263,Ping - Health Check,201,Created,Thread Group 1-9,text,true,,248,229,2,2,https://restful-booker.herokuapp.com/ping,263,0,0
1694421255860,261,Update Booking,200,OK,Thread Group 1-10,text,true,,415,508,1,1,https://restful-booker.herokuapp.com/booking/1131,261,0,0
1694421256122,264,Partial Update Booking,200,OK,Thread Group 1-10,text,true,,414,316,1,1,https://restful-booker.herokuapp.com/booking/1131,264,0,0
1694421256388,259,Delete Booking,201,Created,Thread Group 1-10,text,true,,248,259,1,1,https://restful-booker.herokuapp.com/booking/1131,259,0,0
1694421256648,257,Ping - Health Check,201,Created,Thread Group 1-10,text,true,,248,229,1,1,https://restful-booker.herokuapp.com/ping,257,0,0
